group,function,value,sample_time_nanos,iteration_count
part1,Bytes,,1045058,57
part1,Bytes,,2006040,114
part1,Bytes,,2990430,171
part1,Bytes,,3991597,228
part1,Bytes,,5019671,285
part1,Bytes,,6003775,342
part1,Bytes,,7039401,399
part1,Bytes,,8014629,456
part1,Bytes,,9059814,513
part1,Bytes,,10071312,570
part1,Bytes,,10989790,627
part1,Bytes,,11998126,684
part1,Bytes,,12955771,741
part1,Bytes,,13985065,798
part1,Bytes,,14949660,855
part1,Bytes,,15865634,912
part1,Bytes,,17052327,969
part1,Bytes,,18009250,1026
part1,Bytes,,18967375,1083
part1,Bytes,,20093073,1140
part1,Bytes,,20984357,1197
part1,Bytes,,21997895,1254
part1,Bytes,,23199154,1311
part1,Bytes,,24383836,1368
part1,Bytes,,25995383,1425
part1,Bytes,,27036488,1482
part1,Bytes,,27115522,1539
part1,Bytes,,28151749,1596
part1,Bytes,,28980841,1653
part1,Bytes,,30142863,1710
part1,Bytes,,31050620,1767
part1,Bytes,,32206862,1824
part1,Bytes,,33010349,1881
part1,Bytes,,34000890,1938
part1,Bytes,,35203594,1995
part1,Bytes,,36080809,2052
part1,Bytes,,37038585,2109
part1,Bytes,,37705579,2166
part1,Bytes,,38814877,2223
part1,Bytes,,39983355,2280
part1,Bytes,,40985989,2337
part1,Bytes,,42314537,2394
part1,Bytes,,42988288,2451
part1,Bytes,,43953472,2508
part1,Bytes,,45359907,2565
part1,Bytes,,46023880,2622
part1,Bytes,,47073029,2679
part1,Bytes,,47868702,2736
part1,Bytes,,49031855,2793
part1,Bytes,,50034041,2850
part1,Bytes,,51105512,2907
part1,Bytes,,53255274,2964
part1,Bytes,,53172588,3021
part1,Bytes,,53966615,3078
part1,Bytes,,55215563,3135
part1,Bytes,,55856602,3192
part1,Bytes,,57054673,3249
part1,Bytes,,57827104,3306
part1,Bytes,,58976167,3363
part1,Bytes,,59749319,3420
part1,Bytes,,61051730,3477
part1,Bytes,,61941208,3534
part1,Bytes,,63027452,3591
part1,Bytes,,64117401,3648
part1,Bytes,,64771943,3705
part1,Bytes,,66852464,3762
part1,Bytes,,67433469,3819
part1,Bytes,,68767058,3876
part1,Bytes,,69755286,3933
part1,Bytes,,69874498,3990
part1,Bytes,,70942608,4047
part1,Bytes,,71881275,4104
part1,Bytes,,73013729,4161
part1,Bytes,,73940193,4218
part1,Bytes,,75159892,4275
part1,Bytes,,76832827,4332
part1,Bytes,,77153063,4389
part1,Bytes,,77822684,4446
part1,Bytes,,78954867,4503
part1,Bytes,,79988352,4560
part1,Bytes,,80913460,4617
part1,Bytes,,83579122,4674
part1,Bytes,,83054865,4731
part1,Bytes,,84996362,4788
part1,Bytes,,85232013,4845
part1,Bytes,,86170658,4902
part1,Bytes,,88750582,4959
part1,Bytes,,88295045,5016
part1,Bytes,,88768862,5073
part1,Bytes,,90275929,5130
part1,Bytes,,91235307,5187
part1,Bytes,,91767857,5244
part1,Bytes,,93562749,5301
part1,Bytes,,95482123,5358
part1,Bytes,,95117076,5415
part1,Bytes,,95741828,5472
part1,Bytes,,96967207,5529
part1,Bytes,,97848771,5586
part1,Bytes,,99337705,5643
part1,Bytes,,100417933,5700
